trip_id,driver_id,city_id,pickup_area,dropoff_area,pickup_time,dropoff_time,distance_km,base_fare,surge_multiplier,final_fare,payment_method,trip_status,passenger_rating
1,48,2,Railway Station,Hotel,2024-10-10 08:18:00,2024-10-10 10:21:00,27.81,465.56,2.25,1047.51,Wallet,Completed,3
2,3,1,Bus Stand,Airport,2024-01-02 10:08:00,2024-01-02 13:06:00,29.21,382.52,1.0,382.52,Cash,Completed,4
3,5,3,Airport,Hospital,2024-12-19 20:34:00,2024-12-19 20:49:00,3.07,42.84,1.0,42.84,Card,Completed,4
4,44,1,City Mall,City Mall,2024-05-07 17:22:00,2024-05-07 20:43:00,35.44,640.51,1.0,640.51,Wallet,Completed,3
5,2,2,Railway Station,Hotel,2024-04-01 18:21:00,2024-04-01 21:56:00,35.53,507.86,1.0,507.86,Cash,Completed,3
6,31,8,Hotel,Hospital,2024-04-23 08:58:00,2024-04-23 10:30:00,21.52,289.26,1.0,289.26,Wallet,Completed,3
7,5,3,Railway Station,IT Park,2024-05-22 11:32:00,2024-05-22 13:13:00,18.89,356.06,1.0,356.06,Card,Cancelled,
8,38,4,Railway Station,Hotel,2024-05-15 03:38:00,2024-05-15 05:11:00,20.4,343.3,1.0,343.3,Card,Completed,5
9,13,4,Suburb,Hospital,2024-05-10 04:27:00,2024-05-10 04:35:00,1.57,28.9,1.0,28.9,Wallet,Completed,5
10,5,3,Hotel,Hospital,2024-12-06 21:39:00,2024-12-06 23:10:00,15.16,269.61,1.0,269.61,Wallet,Completed,4
11,45,5,Market,Market,2024-05-31 16:12:00,2024-05-31 18:08:00,19.79,366.57,1.0,366.57,Wallet,Cancelled,
12,26,3,Suburb,Bus Stand,2024-10-07 19:19:00,2024-10-07 20:39:00,13.98,201.86,1.0,201.86,Wallet,Completed,4
13,48,2,Suburb,City Mall,2024-03-27 17:18:00,2024-03-27 19:44:00,23.92,384.24,2.53,972.13,Cash,Completed,3
14,3,1,Hotel,College,2024-05-05 23:39:00,2024-05-06 03:18:00,38.46,445.47,1.0,445.47,Wallet,Completed,5
15,16,5,Bus Stand,College,2024-03-16 17:00:00,2024-03-16 21:11:00,40.33,721.24,1.0,721.24,Cash,Completed,5
16,36,2,Market,Hospital,2024-05-07 21:07:00,2024-05-07 23:11:00,21.36,371.91,1.0,371.91,Wallet,No-show,
17,40,8,IT Park,Bus Stand,2024-09-15 13:58:00,2024-09-15 16:08:00,25.33,460.44,1.0,460.44,Wallet,Completed,3
18,41,1,City Mall,Suburb,2024-05-02 09:04:00,2024-05-02 11:07:00,32.54,418.98,2.64,1106.11,Cash,Completed,4
19,27,7,Airport,Market,2024-07-27 10:29:00,2024-07-27 12:39:00,19.59,247.91,1.0,247.91,Wallet,Completed,5
20,31,8,Bus Stand,Market,2024-01-04 21:19:00,2024-01-05 01:13:00,34.28,611.13,1.0,611.13,Card,Completed,5
21,32,8,City Mall,Market,2024-04-22 09:31:00,2024-04-22 09:44:00,2.76,37.78,1.0,37.78,Card,Completed,4
22,2,2,College,Hospital,2024-07-20 16:42:00,2024-07-20 16:51:00,2.68,43.26,1.99,86.09,Wallet,Completed,3
23,49,5,Suburb,Railway Station,2024-07-13 09:53:00,2024-07-13 11:54:00,19.84,350.76,1.0,350.76,Cash,Completed,4
24,49,5,Market,Suburb,2024-01-16 21:12:00,2024-01-16 23:56:00,38.01,607.05,1.0,607.05,Wallet,Completed,3
25,45,5,Railway Station,Market,2024-05-11 18:10:00,2024-05-11 21:03:00,27.86,521.26,1.0,521.26,Cash,Completed,4
26,20,5,Market,Railway Station,2024-10-21 17:24:00,2024-10-21 19:10:00,18.75,313.5,2.34,733.59,Card,Completed,4
27,3,1,College,Railway Station,2024-06-26 15:42:00,2024-06-26 17:04:00,17.62,265.14,1.0,265.14,Wallet,Cancelled,
28,24,8,College,College,2024-11-21 20:29:00,2024-11-22 00:10:00,32.27,467.4,1.0,467.4,Wallet,Completed,5
29,47,2,Hotel,Hospital,2024-10-30 09:54:00,2024-10-30 11:08:00,12.18,225.05,1.98,445.6,Cash,Completed,5
30,32,8,Suburb,Railway Station,2024-06-15 08:13:00,2024-06-15 10:04:00,16.93,221.22,2.19,484.47,Card,Completed,5
31,47,2,Suburb,Hotel,2024-07-27 14:48:00,2024-07-27 15:48:00,11.95,176.96,1.0,176.96,Card,Completed,4
32,20,5,College,IT Park,2024-12-05 16:30:00,2024-12-05 19:28:00,25.58,351.73,1.0,351.73,Wallet,Completed,4
33,17,3,College,IT Park,2024-04-28 07:12:00,2024-04-28 08:42:00,15.23,258.04,1.0,258.04,Card,Completed,5
34,49,5,Bus Stand,City Mall,2024-09-25 16:06:00,2024-09-25 19:05:00,37.72,504.32,1.0,504.32,Wallet,Completed,5
35,3,1,College,College,2024-01-28 16:44:00,2024-01-28 19:28:00,42.57,685.5,1.0,685.5,Wallet,Completed,4
36,22,2,Market,Airport,2024-04-04 22:16:00,2024-04-05 02:46:00,42.44,629.04,1.0,629.04,Card,Completed,3
37,10,8,Suburb,Bus Stand,2024-10-15 21:05:00,2024-10-16 01:41:00,44.74,534.54,1.0,534.54,Wallet,Completed,5
38,29,6,Suburb,IT Park,2024-08-14 09:37:00,2024-08-14 13:48:00,44.57,599.16,1.0,599.16,Cash,Completed,3
39,11,5,IT Park,College,2024-05-02 08:04:00,2024-05-02 08:46:00,8.31,118.57,1.0,118.57,Cash,Completed,4
40,44,1,Bus Stand,Suburb,2024-04-29 21:50:00,2024-04-30 01:36:00,35.92,564.6,1.0,564.6,Card,Completed,3
41,18,3,College,Railway Station,2024-03-13 06:10:00,2024-03-13 09:59:00,35.98,567.06,1.0,567.06,Wallet,Cancelled,
42,45,5,Airport,Railway Station,2024-06-04 17:17:00,2024-06-04 19:13:00,23.27,347.89,1.36,473.13,Card,Completed,4
43,44,1,College,Bus Stand,2024-10-21 16:01:00,2024-10-21 19:20:00,44.98,736.69,1.0,736.69,Wallet,Completed,3
44,18,3,Hospital,Railway Station,2024-04-02 23:27:00,2024-04-03 01:18:00,29.11,434.72,1.0,434.72,Card,Completed,4
45,22,2,Hospital,Railway Station,2024-07-29 17:18:00,2024-07-29 19:08:00,30.32,430.65,1.0,430.65,Wallet,Completed,4
46,33,7,Airport,Suburb,2024-01-01 17:34:00,2024-01-01 19:36:00,21.6,246.97,1.0,246.97,Wallet,Completed,4
47,36,2,City Mall,IT Park,2024-03-08 21:28:00,2024-03-08 23:51:00,39.82,592.43,1.0,592.43,Card,Completed,3
48,1,2,College,IT Park,2024-10-09 12:14:00,2024-10-09 16:02:00,44.66,817.43,1.0,817.43,Card,Completed,3
49,46,5,Bus Stand,City Mall,2024-05-19 12:30:00,2024-05-19 16:03:00,44.14,571.61,1.0,571.61,Cash,Cancelled,
50,18,3,Market,College,2024-07-31 11:50:00,2024-07-31 13:35:00,23.59,414.34,1.0,414.34,Card,Completed,5
51,29,6,Suburb,Market,2024-10-02 14:21:00,2024-10-02 16:30:00,25.51,391.51,1.0,391.51,Wallet,Completed,3
52,15,8,City Mall,College,2024-07-29 04:47:00,2024-07-29 06:33:00,22.07,404.05,1.0,404.05,Cash,No-show,
53,9,5,City Mall,Hotel,2024-09-14 22:21:00,2024-09-15 01:51:00,39.33,707.69,1.0,707.69,Card,Completed,5
54,5,3,Bus Stand,Hotel,2024-08-28 18:16:00,2024-08-28 20:01:00,16.23,268.47,1.0,268.47,Wallet,Cancelled,
55,41,1,Hotel,Railway Station,2024-09-06 20:02:00,2024-09-06 22:09:00,28.36,365.22,1.0,365.22,Cash,Completed,3
56,29,6,Market,City Mall,2024-03-26 17:57:00,2024-03-26 18:10:00,2.76,37.52,1.84,69.04,Card,Completed,4
57,12,4,College,IT Park,2024-02-10 16:24:00,2024-02-10 18:17:00,28.46,367.89,1.0,367.89,Cash,Completed,4
58,30,1,IT Park,College,2024-05-27 17:10:00,2024-05-27 17:31:00,4.71,87.43,1.0,87.43,Wallet,No-show,
59,13,4,Hotel,IT Park,2024-07-15 19:06:00,2024-07-15 20:28:00,11.82,184.1,1.0,184.1,Cash,Completed,5
60,37,1,Suburb,Market,2024-12-17 18:03:00,2024-12-17 22:36:00,41.11,697.28,1.0,697.28,Wallet,Cancelled,
61,15,8,Airport,IT Park,2024-11-21 08:16:00,2024-11-21 11:35:00,30.98,519.45,1.0,519.45,Wallet,Completed,5
62,3,1,Bus Stand,Hospital,2024-10-23 11:08:00,2024-10-23 11:41:00,5.42,72.42,1.0,72.42,Card,Completed,3
63,33,7,Railway Station,College,2024-05-19 19:16:00,2024-05-19 22:23:00,41.26,765.52,1.0,765.52,Cash,Cancelled,
64,10,8,Airport,IT Park,2024-04-25 19:46:00,2024-04-25 22:34:00,30.84,437.29,1.0,437.29,Card,Completed,4
65,8,6,Railway Station,Suburb,2024-08-20 11:47:00,2024-08-20 15:03:00,30.75,482.05,1.0,482.05,Wallet,Cancelled,
66,2,2,IT Park,Hotel,2024-11-13 20:35:00,2024-11-13 22:05:00,15.77,250.44,1.0,250.44,Cash,Completed,5
67,9,5,College,Hospital,2024-01-24 21:19:00,2024-01-25 00:32:00,44.82,534.66,1.0,534.66,Card,Completed,4
68,27,7,IT Park,Airport,2024-10-27 18:09:00,2024-10-27 21:55:00,40.02,649.9,1.0,649.9,Wallet,Cancelled,
69,14,7,Hospital,Airport,2024-08-15 13:15:00,2024-08-15 17:03:00,38.71,456.58,1.0,456.58,Wallet,Completed,5
70,18,3,Suburb,City Mall,2024-04-07 22:54:00,2024-04-08 03:11:00,37.35,438.24,2.26,990.42,Card,Completed,4
71,14,7,Airport,IT Park,2024-02-05 19:35:00,2024-02-05 20:23:00,10.51,133.77,1.0,133.77,Card,Completed,5
72,9,5,City Mall,IT Park,2024-10-03 09:11:00,2024-10-03 09:50:00,6.28,112.61,1.84,207.2,Cash,Completed,3
73,9,5,Market,Airport,2024-08-03 15:47:00,2024-08-03 16:10:00,4.26,62.14,1.0,62.14,Card,Completed,3
74,20,5,Railway Station,Railway Station,2024-08-22 17:01:00,2024-08-22 17:25:00,4.15,61.55,1.0,61.55,Wallet,Completed,4
75,39,5,College,Bus Stand,2024-03-16 06:17:00,2024-03-16 08:35:00,28.66,449.47,1.0,449.47,Card,Completed,4
76,28,6,Suburb,Hotel,2024-02-20 18:07:00,2024-02-20 21:59:00,38.6,625.6,1.0,625.6,Wallet,Completed,4
77,30,1,College,Railway Station,2024-07-23 12:06:00,2024-07-23 13:12:00,15.1,203.85,1.0,203.85,Cash,No-show,
78,6,6,Railway Station,Hotel,2024-02-17 13:47:00,2024-02-17 16:53:00,33.64,588.5,1.0,588.5,Wallet,Completed,4
79,43,2,Suburb,Railway Station,2024-08-04 20:46:00,2024-08-04 21:05:00,3.74,49.75,1.46,72.64,Wallet,Completed,4
80,36,2,Market,Bus Stand,2024-07-07 07:17:00,2024-07-07 10:19:00,26.47,462.11,1.0,462.11,Cash,Cancelled,
81,39,5,City Mall,Market,2024-12-02 19:17:00,2024-12-02 19:35:00,2.76,36.39,1.0,36.39,Wallet,Completed,3
82,5,3,Hospital,Market,2024-03-13 18:01:00,2024-03-13 18:28:00,5.49,83.69,1.0,83.69,Card,Completed,4
83,6,6,Suburb,Bus Stand,2024-01-27 08:48:00,2024-01-27 11:15:00,28.38,465.2,2.29,1065.31,Cash,Completed,4
84,23,3,Airport,Airport,2024-08-08 07:43:00,2024-08-08 09:36:00,31.01,461.83,1.0,461.83,Card,Completed,5
85,20,5,Suburb,Bus Stand,2024-04-18 18:48:00,2024-04-18 19:39:00,12.62,171.95,2.42,416.12,Card,Completed,5
86,43,2,Market,Hotel,2024-06-30 06:55:00,2024-06-30 09:02:00,33.78,489.46,1.0,489.46,Wallet,Completed,4
87,19,8,Railway Station,Hotel,2024-02-28 12:20:00,2024-02-28 13:05:00,8.98,166.86,1.0,166.86,Cash,Completed,4
88,16,5,Railway Station,Bus Stand,2024-08-11 16:33:00,2024-08-11 16:54:00,4.92,88.38,1.0,88.38,Cash,Cancelled,
